SETOR_ECONOMICO	SUBSETOR	SEGMENTO	EMPRESA	CODIGO	COD_SEGMENTO
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	ANDEAVOR	ANDV	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	CHESAPEAKE	CHKE	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	CHEVRON     	CHVX	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	COPHILLIPS	COPH	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	COSAN       	CSAN	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	COSAN LTD   	CZLT	DR3
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	DOMMO	DMMO	
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	EXXON MOBIL 	EXXO	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	OGX PETROLEO	OGXP	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	PET MANGUINH	RPMG	
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	PETROBRAS   	PETR	
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	PETROBRAS BR	BRDT	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	PETRORIO	PRIO	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	QGEP PART   	QGEP	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	SANCHEZ ENER	SANC	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	ULTRAPAR    	UGPA	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Exploração, Refino e Distribuição	VALERO ENER	VLOE	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Equipamentos e Serviços	HALLIBURTON	HALI	DRN
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Equipamentos e Serviços	LUPATECH    	LUPA	NM             
Petróleo, Gás e Biocombustíveis	Petróleo, Gás e Biocombustíveis	Equipamentos e Serviços	OSX BRASIL  	OSXB	NM             
