COD_BDI	DESC_BDI
2	LOTE PADRAO
5	SANCIONADAS PELOS REGULAMENTOS BMFBOVESPA
6	CONCORDATARIAS
7	RECUPERACAO EXTRAJUDICIAL
8	RECUPERAÇÃO JUDICIAL
9	RAET - REGIME DE ADMINISTRACAO ESPECIAL TEMPORARIA
10	DIREITOS E RECIBOS
11	INTERVENCAO
12	FUNDOS IMOBILIARIOS
14	CERT.INVEST/TIT.DIV.PUBLICA
18	OBRIGACÕES
22	BÔNUS (PRIVADOS)
26	APOLICES/BÔNUS/TITULOS PUBLICOS
32	EXERCICIO DE OPCOES DE COMPRA DE INDICES
33	EXERCICIO DE OPCOES DE VENDA DE INDICES
38	EXERCICIO DE OPCOES DE COMPRA
42	EXERCICIO DE OPCOES DE VENDA
46	LEILAO DE NAO COTADOS
48	LEILAO DE PRIVATIZACAO
49	LEILAO DO FUNDO RECUPERACAO ECONOMICA ESPIRITO SANTO
50	LEILAO
51	LEILAO FINOR
52	LEILAO FINAM
53	LEILAO FISET
54	LEILAO DE ACÕES EM MORA
56	VENDAS POR ALVARA JUDICIAL
58	OUTROS
60	PERMUTA POR ACÕES
61	META
62	MERCADO A TERMO
66	DEBENTURES COM DATA DE VENCIMENTO ATE 3 ANOS
68	DEBENTURES COM DATA DE VENCIMENTO MAIOR QUE 3 ANOS
70	FUTURO COM RETENCAO DE GANHOS
71	MERCADO DE FUTURO
74	OPCOES DE COMPRA DE INDICES
75	OPCOES DE VENDA DE INDICES
78	OPCOES DE COMPRA
82	OPCOES DE VENDA
83	BOVESPAFIX
84	SOMA FIX
90	TERMO VISTA REGISTRADO
96	MERCADO FRACIONARIO
99	TOTAL GERAL
